charge_name,uccs_code,probability,mfj_code,ncrp_code,ncic_code,nibrs_code
CAPITAL MURDER OF A PEACE OFFICER OR FIREMAN,1010,0.999752965139733,10,010,,09A
CAPITAL MURDER,1010,0.999991053560572,10,010,,09A
CRIM ATT CAPITAL MURDER-F1,1011,0.982582646493546,11,011,,
CAPITAL MURDER BY TERROR THREAT/OTHER FELONY,1010,0.989737479664852,10,010,,09A
ATTEMPTED CAPITAL MURDER (ATTEMPTED),1011,0.999988151605883,11,011,,
CAPITAL MURDER BY RETALIATION,1010,0.999862988104317,10,010,,09A
CAPITAL MURDER [RE-IND CR-15-0887],1010,0.999956043472939,10,010,,09A
CAPITAL MURDER [RE-INDCT-CR-15-0888],1010,0.999973924928767,10,010,,09A
CAPITAL MURDER [RE-INDCT-CR-17-0024],1010,0.999973924928767,10,010,,09A
CAPITAL MURDER OF PERSON UNDER TEN,1010,0.996906396458993,10,010,,09A
CAPITAL MURDER BY KIDNAPPING,1010,0.999971945466284,10,010,,09A
DEADLY COND-F3(SMPD00-01728),1010,0.360808913282169,10,010,,09A
CRIM ATT MURDER/SMPD 96-13109,1011,0.99991488256244,11,011,,
ATTEMPTED MURDER,1011,0.999991988963664,11,011,,
ATT MURD-F2(SMPD00-01461),1011,0.999974588725982,11,011,,
ATTEMPT TO COMMIT MURDER 19.02A (A)(1),1011,0.999224330066808,11,011,,
SOLICITATION TO COMMIT CRIM ATT CAPITAL MURDER-F1,1011,0.806681603658498,11,011,,
CONSPIRACY TO COMMIT MURDER (CONSPIRED),1012,0.999291450584372,12,012,,
ATTEMPTED MURDER (ATTEMPTED),1011,0.999994292606132,11,011,,
MURDER,1010,0.999999622341826,10,010,,09A
CRIM SOLICITATION TO COMMIT CAPITAL MURDER,1012,0.960716619726673,12,012,,
MURDER-F1(HCSOC11-41556),1010,0.999996845184121,10,010,,09A
MURDER [RE-IND CR-13-0470],1010,0.999952106837426,10,010,,09A
MURDER [RE-INDICT CR-14-0270],1010,0.972871144474754,10,010,,09A
MURDER [RE-INDCT CR-14-0635],1010,0.995805864492656,10,010,,09A
MURDER [RE-IND CR-17-1207],1010,0.999952106837426,10,010,,09A
ATTEMPT TO COMMIT CAPITAL MURDER OF A PEACE OFFICER (ATTEMPTED),1011,0.999973222586704,11,011,,
MURDER [FAMILY VIOLENCE],1010,0.999391255475428,10,010,,09A
CRIMINAL SOLICITATION TO COMMIT CAPITAL MURDER,1012,0.990828316211021,12,012,,
MURDER (ATTEMPTED),1011,0.999991988963664,11,011,,
DRIVING WHILE INTOXICATED WITH PREVIOUS MANSLAUGHTER CONVICTION,1040,0.965163750572058,25,020,0909,
INTOXICATED MANSLAUGHTER W/VEHICLE,1040,0.933774734293765,25,020,0909,
FAILURE TO STOP AND RENDER AID RESULTING IN DEATH,1040,0.994391082524711,25,020,0909,
INTOXICATION MANSLAUGHTER WITH A VEHICLE,1040,0.993589773975156,25,020,0909,
INTOX MANSLAUGHTER(DWI)-F2(THP),1040,0.93907299271442,25,020,0909,
EVADING ARREST DETENTION W/VEH CAUSING DEATH,1040,0.965139675724451,25,020,0909,
MANSLAUGHTER,1050,0.890559855995641,30,030,0910,09B;09C
INTOXICATION MANSLAUGHTER,1050,0.662824293507852,30,030,0910,09B;09C
INTOXICATED MANSLAUGHTER,1050,0.662824293507852,30,030,0910,09B;09C
INTOXICATION MANSLAUGHTER [RE-IND CR-08-851],1050,0.478832100779582,30,030,0910,09B;09C
INTOXICATION MANSLAUGHTER [RE-INDICTMENT CR-13-0612],1050,0.845952933130843,30,030,0910,09B;09C
INTOXICATION MANSLAUGHTER,1050,0.662824293507852,30,030,0910,09B;09C
MANSLAUGHTER [RE-IND CR-08-851],1050,0.644916945557728,30,030,0910,09B;09C
INTOXICATION MANSLAUGHTER [RE-INDICT CR-13-0026],1050,0.845952933130843,30,030,0910,09B;09C
INTOXICATION MANSLAUGHTER [RE-INDT CR-15-0057],1050,0.662824293507852,30,030,0910,09B;09C
CRIMINAL NEGLIGENT HOMICIDE,1050,0.991373886741853,30,030,0910,09B;09C
CRIMINALLY NEGLIGENT HOMICIDE,1050,0.991373886741853,30,030,0910,09B;09C
CRIMINALLY NEG HOMICIDE,1050,0.988843784503412,30,030,0910,09B;09C
CRIM NEGLIGENT HOMICIDE,1050,0.986111034519503,30,030,0910,09B;09C
KIDNAPPING,1060,0.998567807089534,35,040,1001;1002;1003;1004;1005;1006;1007;1008;1009;1010;1011;1020;1021;1099,100
ENTICING A CHILD W/INT FELONY (ATTEMPTED),1061,0.936906137760749,36,041,,
UNL RESTRAINT EXPOSE TO SBI,1060,0.611371160832272,35,040,1001;1002;1003;1004;1005;1006;1007;1008;1009;1010;1011;1020;1021;1099,100
UNLAWFUL RESTRAINT,1060,0.988458186692259,35,040,1001;1002;1003;1004;1005;1006;1007;1008;1009;1010;1011;1020;1021;1099,100
ENTICING A CHILD W/INT FELONY,1060,0.987498390021815,35,040,1001;1002;1003;1004;1005;1006;1007;1008;1009;1010;1011;1020;1021;1099,100
ENTICING A CHILD INTEND OTHER FELONY,1060,0.993457867262151,35,040,1001;1002;1003;1004;1005;1006;1007;1008;1009;1010;1011;1020;1021;1099,100
UNLAWFUL RESTRAINT:EXPOSE TO SBI,1060,0.990545534232372,35,040,1001;1002;1003;1004;1005;1006;1007;1008;1009;1010;1011;1020;1021;1099,100
UNLAW RESTRAINT/RECK-F3(HCSO CO1-35718),1060,0.962544580537329,35,040,1001;1002;1003;1004;1005;1006;1007;1008;1009;1010;1011;1020;1021;1099,100
UNLAWFUL RESTRAINT [RE-INDICT],1060,0.916850907923947,35,040,1001;1002;1003;1004;1005;1006;1007;1008;1009;1010;1011;1020;1021;1099,100
UNLAWFUL RESTRAINT RISKING SERIOUS BODILY INJURY,1060,0.993755926416809,35,040,1001;1002;1003;1004;1005;1006;1007;1008;1009;1010;1011;1020;1021;1099,100
ATTEMPT TO COMMIT AGGRAVATED KIDNAPPING (ATTEMPTED),1061,0.998867743215717,36,041,,
ATTEMPTED AGGRAVATED KIDNAPPING (ATTEMPTED),1061,0.995863207188833,36,041,,
ATTEMPTED AGG KIDNAPPING (ATTEMPTED),1061,0.999209427673837,36,041,,
AGG KIDNAPPING-F1/SMPD#04-7188,1060,0.950267973335443,35,040,1001;1002;1003;1004;1005;1006;1007;1008;1009;1010;1011;1020;1021;1099,100
AG KIDNAPPING-F1,1060,0.817714204711063,35,040,1001;1002;1003;1004;1005;1006;1007;1008;1009;1010;1011;1020;1021;1099,100
AGG KIDNAPPING,1060,0.999070769669464,35,040,1001;1002;1003;1004;1005;1006;1007;1008;1009;1010;1011;1020;1021;1099,100
AGGRAVATED KIDNAPPING,1060,0.999553714545588,35,040,1001;1002;1003;1004;1005;1006;1007;1008;1009;1010;1011;1020;1021;1099,100
AGGRAVATED KIDNAPPING [FAMILY VIOLENCE],1060,0.999879491795811,35,040,1001;1002;1003;1004;1005;1006;1007;1008;1009;1010;1011;1020;1021;1099,100
AGG KIDNAPPING FACILITATE,1060,0.999927142300151,35,040,1001;1002;1003;1004;1005;1006;1007;1008;1009;1010;1011;1020;1021;1099,100
BI/ AGG KIDNAPPING USE AS SHIELD/HOSTAGE-F1(SMPD 19-60935),1060,0.998969244449623,35,040,1001;1002;1003;1004;1005;1006;1007;1008;1009;1010;1011;1020;1021;1099,100
ENGAGING IN ORGANIZED CRIMINAL ACTIVITY / AGG KIDNAPPING,1060,0.983186476977445,35,040,1001;1002;1003;1004;1005;1006;1007;1008;1009;1010;1011;1020;1021;1099,100
AGGRAVATED KIDNAPPING WITH A DEADLY WEAPON,1060,0.999934533307378,35,040,1001;1002;1003;1004;1005;1006;1007;1008;1009;1010;1011;1020;1021;1099,100
INTERFER W/CHILD CUSTODY,1060,0.744391140534459,35,040,1001;1002;1003;1004;1005;1006;1007;1008;1009;1010;1011;1020;1021;1099,100
CRIMINAL CONSPIRACY TO COMMIT KIDNAPPING (CONSPIRED),1062,0.984202850954547,37,042,,
INTERFERENCE WITH CHILD CUSTODY,1060,0.798806278077588,35,040,1001;1002;1003;1004;1005;1006;1007;1008;1009;1010;1011;1020;1021;1099,100
IMPROPER SEXUAL ACTIVITY WITH PERSON IN CUSTODY,1060,0.572600221088632,35,040,1001;1002;1003;1004;1005;1006;1007;1008;1009;1010;1011;1020;1021;1099,100
ATTEMPTED KIDNAPPING (ATTEMPTED),1061,0.999733905579791,36,041,,
UNLAWFUL RESTRAINT- LESS THAN 17 YRS OF AGE,1060,0.995910081765367,35,040,1001;1002;1003;1004;1005;1006;1007;1008;1009;1010;1011;1020;1021;1099,100
UNLAWFUL RESTRAINT-LESS THAN 17 YEARS OF AGE,1060,0.998030818769456,35,040,1001;1002;1003;1004;1005;1006;1007;1008;1009;1010;1011;1020;1021;1099,100
IMPROPER SEXUAL ACTIVITY WITH A PERSON IN CUSTODY,1060,0.572600221088632,35,040,1001;1002;1003;1004;1005;1006;1007;1008;1009;1010;1011;1020;1021;1099,100
UNLAWFUL RESTRAINT OF A MINOR,1060,0.697460535383898,35,040,1001;1002;1003;1004;1005;1006;1007;1008;1009;1010;1011;1020;1021;1099,100
ATTEMPT TO COMMIT UNLAWFUL RESTRAINT (ATTEMPTED),1061,0.975374884608738,36,041,,
UNLAWFUL RESTRAINT,1060,0.988458186692259,35,040,1001;1002;1003;1004;1005;1006;1007;1008;1009;1010;1011;1020;1021;1099,100
UNLAW RESTRAINT,1060,0.988458186692259,35,040,1001;1002;1003;1004;1005;1006;1007;1008;1009;1010;1011;1020;1021;1099,100
UNLAWFUL RESTRAINT-A (KPD 2018-34582),1060,0.984423698639113,35,040,1001;1002;1003;1004;1005;1006;1007;1008;1009;1010;1011;1020;1021;1099,100
UNLAWFUL RESTRAINT-A,1060,0.984610857554614,35,040,1001;1002;1003;1004;1005;1006;1007;1008;1009;1010;1011;1020;1021;1099,100
UNLAWFUL RESTRAINT-A (SMPD 21-37562),1060,0.984610857554614,35,040,1001;1002;1003;1004;1005;1006;1007;1008;1009;1010;1011;1020;1021;1099,100
UNLAWFUL RESTRAINT-A (HCSO 2021-50282),1060,0.98445640216279,35,040,1001;1002;1003;1004;1005;1006;1007;1008;1009;1010;1011;1020;1021;1099,100
UNLAW RESTRAINT-A,1060,0.984610857554614,35,040,1001;1002;1003;1004;1005;1006;1007;1008;1009;1010;1011;1020;1021;1099,100
UNLAW RESTRAIN,1060,0.987414982995443,35,040,1001;1002;1003;1004;1005;1006;1007;1008;1009;1010;1011;1020;1021;1099,100
UNLAWFUL RESTRAINT - A,1060,0.984610857554614,35,040,1001;1002;1003;1004;1005;1006;1007;1008;1009;1010;1011;1020;1021;1099,100
SEX OFF DUTY TO REG-F3 (HCSO C01-15382),1070,0.917293172006302,40,050;110,1101;1102;1103;1118;1119;1122;1198,11A;11B
SEXUAL ASSAULT,1070,0.515554503253426,40,050;110,1101;1102;1103;1118;1119;1122;1198,11A;11B
SEX OFF DUTY REG-F3(HAYS CO.),1070,0.917293172006302,40,050;110,1101;1102;1103;1118;1119;1122;1198,11A;11B
SEX OFF DUTY TO REG-F3(SMPD2-6232),1070,0.917293172006302,40,050;110,1101;1102;1103;1118;1119;1122;1198,11A;11B
CRIM ATT SEX ASLT CHILD-F3/AG OFFICE,1070,0.899339216089725,40,050;110,1101;1102;1103;1118;1119;1122;1198,11A;11B
LESSER INCLUDED - ATTEMPTED SEXUAL ASSAULT OF A CHILD (ATTEMPTED),1071,0.542572215699456,41,051;111,,
SEX OFF DUTY TO REG,1070,0.736425604330508,40,050;110,1101;1102;1103;1118;1119;1122;1198,11A;11B
SEX OFF DUTY REG-F3 (SMPD 06-14705),1070,0.917293172006302,40,050;110,1101;1102;1103;1118;1119;1122;1198,11A;11B
SEX ASLT(SMPD00-14073),1070,0.99812082919715,40,050;110,1101;1102;1103;1118;1119;1122;1198,11A;11B
SEX ASLT CHILD-F2(KPD K01-489),1070,0.613169566466339,40,050;110,1101;1102;1103;1118;1119;1122;1198,11A;11B
SEX ASLT CHILD-F2(KPD 02-0132),1070,0.613169566466339,40,050;110,1101;1102;1103;1118;1119;1122;1198,11A;11B
SEXUAL ASLT-F2(SMPD 02-33423),1070,0.99611287106183,40,050;110,1101;1102;1103;1118;1119;1122;1198,11A;11B
SEX ASLT CHILD-F2(SMPD02-42343),1070,0.613169566466339,40,050;110,1101;1102;1103;1118;1119;1122;1198,11A;11B
SEX ASLT/CHILD-F2(SMPD02-09223),1070,0.991249225881226,40,050;110,1101;1102;1103;1118;1119;1122;1198,11A;11B
SEX ASLT/CHILD-F2(CO4-026J2),1070,0.991249225881226,40,050;110,1101;1102;1103;1118;1119;1122;1198,11A;11B
SEX ASLT CHLD-F2 (SMPD 05-21245),1070,0.974126837772161,40,050;110,1101;1102;1103;1118;1119;1122;1198,11A;11B
SEX ASLT-F2 (HCSO C12-26515),1070,0.997162924719744,40,050;110,1101;1102;1103;1118;1119;1122;1198,11A;11B
LESSER INCLUDED SEXUAL ASSAULT,1070,0.609458378124084,40,050;110,1101;1102;1103;1118;1119;1122;1198,11A;11B
ATTEMPTED AGGRAVATED SEXUAL ASSAULT (ATTEMPTED),1071,0.96962771181996,41,051;111,,
SEX ASLT-F2 (UPD),1070,0.997162924719744,40,050;110,1101;1102;1103;1118;1119;1122;1198,11A;11B
SEXUAL ASSLT,1070,0.851221587113175,40,050;110,1101;1102;1103;1118;1119;1122;1198,11A;11B
SEX ASLT-F2(SMPD 02-53282),1070,0.99249601454261,40,050;110,1101;1102;1103;1118;1119;1122;1198,11A;11B
ATT SEX ASLT,1071,0.631009597823534,41,051;111,,
SEX ASLT,1070,0.99812082919715,40,050;110,1101;1102;1103;1118;1119;1122;1198,11A;11B
SEX ASLT-F2 (HAYS),1070,0.997162924719744,40,050;110,1101;1102;1103;1118;1119;1122;1198,11A;11B
AGGRAVATED SEXUAL ASSAULT,1070,0.997088373798271,40,050;110,1101;1102;1103;1118;1119;1122;1198,11A;11B
ATTEMPT TO COMMIT AGGRAVATED SEXUAL ASSAULT (ATTEMPTED),1071,0.701404015008472,41,051;111,,
AGGRAVATED SEXUAL ASSAULT [RE-IND CR-11-0954],1070,0.796737948224718,40,050;110,1101;1102;1103;1118;1119;1122;1198,11A;11B
AGG SEX ASLT CHLD-F1 (KPD 2012-27970),1070,0.608612199113922,40,050;110,1101;1102;1103;1118;1119;1122;1198,11A;11B
AGGRAVTED SEXUAL ASSAULT,1070,0.966874611819778,40,050;110,1101;1102;1103;1118;1119;1122;1198,11A;11B
AGG SEX ASLT-F1/SMPD#04-7188,1070,0.740811659401844,40,050;110,1101;1102;1103;1118;1119;1122;1198,11A;11B
AGG SEXUAL ASLT,1070,0.589109726210951,40,050;110,1101;1102;1103;1118;1119;1122;1198,11A;11B
SEXUAL INTERCOURSE WITH PERSON IN CUSTODY,1070,0.996688790238314,40,050;110,1101;1102;1103;1118;1119;1122;1198,11A;11B
SEXUAL COERCION,1070,0.480649861146371,40,050;110,1101;1102;1103;1118;1119;1122;1198,11A;11B
SEX OFF DUTY REG-SJF,1070,0.917293172006302,40,050;110,1101;1102;1103;1118;1119;1122;1198,11A;11B
DEADLY CONDUCT [A] & [B],1080,0.52000000889285,45,060,1116,36B
SEXUAL ASSLT CHILD,1080,0.967988426743466,45,060,1116,36B
IND W/CHILD SEX CONT(SMPD98-10639),1080,0.423477977808924,45,060,1116,36B
SEX/ASLT CHILD(SMPD00-20617),1080,0.689852038172268,45,060,1116,36B
SEXUAL ASLT OF A CHILD,1080,0.640762210144013,45,060,1116,36B
ATTEMPT TO COMMIT AGG SEXUAL ASSLT CHILD,1081,0.540161256866612,46,061,,
AGG SEXUAL ASSLT OF CHILD/IND W/CHILD,1080,0.928565312276399,45,060,1116,36B
SEX ASLT OF A CHILD,1080,0.496834941698684,45,060,1116,36B
SEXUAL ASLT CHILD [RE-IND CR-07-205],1080,0.639654500389042,45,060,1116,36B
IMPROPER RELATIONSHIP BETWEEN EDUCATOR AND STUDENT,1080,0.679477800179794,45,060,1116,36B
SEXUAL ASLT CHILD [RE-IND CR-07-742],1080,0.639654500389042,45,060,1116,36B
BI/SEX ASLT CHILD-F2 (HCSO),1082,0.411912656574455,47,062,,
LESSER INCLUDED SEXUAL ABUSE OF A CHILD,1080,0.519042493874413,45,060,1116,36B
SEXUAL ASSLT CHILD (SMPD 02-1238),1080,0.967988426743466,45,060,1116,36B
SEXUAL ASLT OF CHILD,1080,0.640762210144013,45,060,1116,36B
AGG SEXUAL ASLT OF A CHILD,1080,0.551749762719728,45,060,1116,36B
SEXUAL ASLT CHILD,1080,0.640762210144013,45,060,1116,36B
AGG SEXUAL ASLT CHILD,1080,0.551749762719728,45,060,1116,36B
AGG SEX ASLT OF A CHILD,1082,0.527229338524702,47,062,,
AGG SEX ASLT CHILD,1082,0.527229338524702,47,062,,
