uccs_code,charge_desc,offense_category_code,offense_category_desc,offense_type_code,offense_type_desc
1010,Murder,1,Murder,1,Violent
1011,Attempted Murder,1,Murder,1,Violent
1012,Conspiracy to Commit Murder,1,Murder,1,Violent
1020,Unspecified Homicide,2,Unspecified homicide,1,Violent
1021,"Unspecified Homicide, Attempted",2,Unspecified homicide,1,Violent
1022,"Unspecified Homicide, Conspiracy",2,Unspecified homicide,1,Violent
1030,Voluntary Manslaughter,3,Voluntary/nonnegligent manslaughter,1,Violent
1031,"Voluntary Manslaughter, Attempted",3,Voluntary/nonnegligent manslaughter,1,Violent
1032,"Voluntary Manslaughter,Conspiracy",3,Voluntary/nonnegligent manslaughter,1,Violent
1040,Vehicular Manslaughter,3,Voluntary/nonnegligent manslaughter,1,Violent
1041,"Vehicular Manslaughter, Attempted",3,Voluntary/nonnegligent manslaughter,1,Violent
1042,"Vehicular Manslaughter, Conspiracy",3,Voluntary/nonnegligent manslaughter,1,Violent
1050,Involuntary Manslaughter,4,Manslaughter - non-vehicular,1,Violent
1051,"Involuntary Manslaughter, Attempt",4,Manslaughter - non-vehicular,1,Violent
1052,"Involuntary Manslaughter, Conspiracy",4,Manslaughter - non-vehicular,1,Violent
1060,Kidnapping,5,Kidnapping,1,Violent
1061,"Kidnapping, Attempted",5,Kidnapping,1,Violent
1062,"Kidnapping, Conspiracy",5,Kidnapping,1,Violent
1070,Rape,6,Rape - force,1,Violent
1071,"Rape, Attempted",6,Rape - force,1,Violent
1072,"Rape, Conspiracy",6,Rape - force,1,Violent
1080,Statutory Rape,7,Rape - statutory - no force,1,Violent
1081,"Statutory Rape, Attempted",7,Rape - statutory - no force,1,Violent
1082,"Statutory Rape, Conspiracy",7,Rape - statutory - no force,1,Violent
1090,Child Molestation,8,Lewd act with children,1,Violent
1091,"Child Molestation, Attempted",8,Lewd act with children,1,Violent
1092,"Child Molestation, Conspiracy",8,Lewd act with children,1,Violent
1100,Sexual Assault,9,Sexual assault - other,1,Violent
1101,"Sexual Assault, Attempted",9,Sexual assault - other,1,Violent
1102,"Sexual Assault, Conspiracy",9,Sexual assault - other,1,Violent
1110,"Human Trafficking, Sex - child",10,Human Trafficking,1,Violent
1111,"Human Trafficking, Sex - child, Attempted",10,Human Trafficking,1,Violent
1112,"Human Trafficking, Sex - child, Conspiracy",10,Human Trafficking,1,Violent
1120,"Human Trafficking, Sex - adult or no age specified",10,Human Trafficking,1,Violent
1121,"Human Trafficking, Sex - adult or no age specified, Attempted",10,Human Trafficking,1,Violent
1122,"Human Trafficking, Sex - adult or no age specified, Conspiracy",10,Human Trafficking,1,Violent
1130,"Human Trafficking, Labor - child",10,Human Trafficking,1,Violent
1131,"Human Trafficking, Labor - child, Attempted",10,Human Trafficking,1,Violent
1132,"Human Trafficking, Labor - child, Conspiracy",10,Human Trafficking,1,Violent
1140,"Human Trafficking, Labor - adult or no age specified",10,Human Trafficking,1,Violent
1141,"Human Trafficking, Labor - adult or no age specified, Attempted",10,Human Trafficking,1,Violent
1142,"Human Trafficking, Labor - adult or no age specified, Conspiracy",10,Human Trafficking,1,Violent
1150,"Human Trafficking, Unspecified - child",10,Human Trafficking,1,Violent
1151,"Human Trafficking, Unspecified - child, Attempted",10,Human Trafficking,1,Violent
1152,"Human Trafficking, Unspecified - child, Conspiracy",10,Human Trafficking,1,Violent
1160,"Human Trafficking, Unspecified - adult or no age specified",10,Human Trafficking,1,Violent
1161,"Human Trafficking, Unspecified - adult or no age specified, Attempted",10,Human Trafficking,1,Violent
1162,"Human Trafficking, Unspecified - adult or no age specified, Conspiracy",10,Human Trafficking,1,Violent
1170,Human Trafficking,10,Human Trafficking,1,Violent
